document_id,variant_id,document_type,template,quality_condition,quality_group,file_format,extraction_method,expected_rows,predicted_rows,matched_rows,row_precision,row_recall,row_f1,description_accuracy,quantity_accuracy,unit_price_accuracy,line_total_accuracy,complete_line_item_accuracy,no_predicted_items,perfect_line_item_extraction
INV-0027,INV-0027-scanned_pdf,invoice,invoice_2,light_noise,degraded,scanned_pdf,ocr,3,3,3,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,False,False
INV-0031,INV-0031-scanned_pdf,invoice,invoice_1,mild_blur,degraded,scanned_pdf,ocr,4,4,4,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,False,False
INV-0037,INV-0037-scanned_pdf,invoice,invoice_2,jpeg_compression,degraded,scanned_pdf,ocr,3,3,3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,False
INV-0038,INV-0038-scanned_pdf,invoice,invoice_3,mild_blur,degraded,scanned_pdf,ocr,3,2,2,1.0,0.6666666666666666,0.8,0.5,1.0,1.0,1.0,0.3333333333333333,False,False
INV-0040,INV-0040-scanned_pdf,invoice,invoice_5,slight_rotation,degraded,scanned_pdf,ocr,3,2,2,1.0,0.6666666666666666,0.8,0.0,0.5,0.0,0.0,0.0,False,False
RCT-0002,RCT-0002-scanned_pdf,receipt,receipt_2,perspective,degraded,scanned_pdf,ocr,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0004,RCT-0004-scanned_pdf,receipt,receipt_4,jpeg_compression,degraded,scanned_pdf,ocr,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0006,RCT-0006-scanned_pdf,receipt,receipt_2,mild_shadow,degraded,scanned_pdf,ocr,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0010,RCT-0010-scanned_pdf,receipt,receipt_2,lower_contrast,degraded,scanned_pdf,ocr,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0014,RCT-0014-scanned_pdf,receipt,receipt_2,slight_rotation,degraded,scanned_pdf,ocr,5,1,1,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.2,False,False
RCT-0021,RCT-0021-scanned_pdf,receipt,receipt_1,slight_rotation,degraded,scanned_pdf,ocr,2,1,1,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,False,False
RCT-0022,RCT-0022-scanned_pdf,receipt,receipt_2,light_noise,degraded,scanned_pdf,ocr,4,4,4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,False
RCT-0025,RCT-0025-scanned_pdf,receipt,receipt_1,jpeg_compression,degraded,scanned_pdf,ocr,5,4,4,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,0.8,False,False
RCT-0028,RCT-0028-scanned_pdf,receipt,receipt_4,slight_rotation,degraded,scanned_pdf,ocr,5,5,5,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,False,False
RCT-0030,RCT-0030-scanned_pdf,receipt,receipt_2,perspective,degraded,scanned_pdf,ocr,4,4,4,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,False,False
